condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,24,24,0,137456.025,0.533,0.217,-0.007,-0.818,4012,0,105,3269,0,723,1,979,47,1.140,19,1,22.760,0.356,16.440,-5.880,14.600,-0.349,-0.165,0.940,0.356,0.016,0.102,0.304,0.010,1.059,1.220,1,NULL,NULL,2,0,3,7,255,1040,150,12,0
pre_stim,24,24,0,137461.023,0.533,0.216,-0.008,-0.818,4019,0,99,3247,0,721,8,998,47,1.140,19,1,24.120,0.214,16.380,-6.420,16.500,-0.345,-0.157,0.936,0.210,-0.040,0.056,0.304,0.008,1.059,1.220,1,NULL,NULL,2,0,3,7,255,1040,150,17,0
pre_stim,29,29,0,137466.025,0.532,0.215,-0.009,-0.819,4014,0,101,3255,0,711,5,1017,47,1.140,19,1,23.393,0.179,16.620,-6.740,15.020,-0.330,-0.143,0.934,0.174,-0.040,-0.010,0.304,0.006,1.059,1.220,1,NULL,NULL,2,0,3,7,255,1040,150,22,0
pre_stim,29,29,0,137471.023,0.532,0.214,-0.010,-0.819,4009,0,106,3247,0,720,8,1029,47,1.140,19,1,24.369,0.037,17.360,-6.920,15.640,-0.337,-0.139,0.943,0.030,-0.022,-0.010,0.304,0.004,1.059,1.220,1,NULL,NULL,2,0,3,7,255,1040,150,27,0
pre_stim,29,29,0,137476.025,0.532,0.213,-0.010,-0.820,3995,0,117,3228,1,701,7,1033,47,1.140,19,1,23.437,0.041,18.340,-5.080,13.680,-0.268,-0.179,0.916,0.030,0.028,-0.106,0.304,0.002,1.059,1.220,1,NULL,NULL,2,0,3,7,255,1040,150,32,0
pre_stim,29,29,0,137481.023,0.532,0.212,-0.012,-0.820,3991,0,117,3231,2,715,9,1051,47,1.140,19,1,30.810,0.578,30.780,0.660,-1.200,-0.319,-0.157,1.102,0.022,0.578,-0.002,0.304,0.000,1.059,1.220,1,NULL,NULL,2,0,3,7,255,1040,150,37,0
pre_stim,45,45,0,137486.025,0.532,0.211,-0.013,-0.820,3979,0,124,3221,3,683,7,1061,47,1.140,19,1,38.585,0.629,36.400,-9.060,9.040,-0.425,-0.118,0.794,0.248,0.578,-0.400,0.000,0.000,1.059,1.220,1,NULL,NULL,2,0,3,7,255,1040,150,42,0
pre_stim,45,45,0,137491.024,0.532,0.210,-0.014,-0.820,3961,0,135,3208,8,679,9,1067,47,1.140,19,1,27.435,0.814,16.380,-8.260,20.400,-0.384,-0.126,0.852,0.466,-0.668,-0.666,0.000,0.000,1.059,1.220,1,NULL,NULL,2,0,3,7,255,1040,150,47,0
pre_stim,61,61,0,137496.025,0.531,0.209,-0.015,-0.821,3957,0,153,3209,8,715,16,1087,47,1.140,19,1,31.631,0.814,13.400,-9.420,27.060,-0.352,-0.137,0.977,0.466,-0.668,-0.666,0.000,0.000,1.059,1.220,1,NULL,NULL,2,0,3,7,255,1040,150,52,0
pre_stim,61,61,0,137501.023,0.530,0.208,-0.015,-0.822,3947,0,160,3197,25,685,18,1103,47,1.140,19,1,32.873,0.139,18.580,-9.660,25.340,-0.297,-0.154,0.953,0.132,-0.042,-0.012,0.000,0.000,1.059,1.220,1,NULL,NULL,2,0,3,7,255,1040,150,57,0
