condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,0,0,0,0,2487780.386,0.302,0.179,0.048,-0.935,0,0,0,0,0,0,0,0,50,0.983,1,1529,0,206.628,21.927,-113.000,172.313,-15.313,1.285,0.113,2.148,-20.883,6.688,10.539,1.506,1.754,1.016,1.190,0,NULL,NULL,1339.000,2,0,2,7,255,,250,0,0
pre_stim,34,34,0,34,2487785.402,0.302,0.188,0.050,-0.933,0,0,0,0,6,0,0,0,50,0.983,1,1529,0,210.077,20.911,-111.438,177.688,-11.875,1.395,0.273,1.684,-19.813,6.688,3.105,1.354,1.604,1.016,1.190,0,NULL,NULL,,2,0,2,7,255,1339,250,0,0
pre_stim,34,34,0,34,2487790.414,0.302,0.196,0.054,-0.931,0,0,0,0,29,0,0,0,50,0.983,1,1529,0,210.010,20.700,-133.750,160.375,-22.250,1.641,0.469,1.762,-19.813,5.996,-2.109,1.200,1.450,1.016,1.190,0,NULL,NULL,,2,0,2,7,255,1339,250,0,0
pre_stim,34,34,0,34,2487795.407,0.303,0.203,0.059,-0.929,0,0,0,0,47,0,0,0,50,0.983,1,1529,0,208.369,23.185,-158.563,126.938,-46.500,1.543,0.590,1.879,-22.430,5.871,-2.703,1.042,1.294,1.016,1.190,0,NULL,NULL,,2,0,2,7,255,1339,250,0,0
pre_stim,36,36,0,36,2487800.388,0.304,0.209,0.065,-0.927,0,0,0,0,73,0,0,0,50,0.983,1,1529,0,206.027,23.494,-162.625,112.250,-58.313,1.504,0.645,2.219,-23.090,4.340,-2.703,0.882,1.134,1.016,1.190,0,NULL,NULL,,2,0,2,7,255,1339,250,0,0
pre_stim,42,42,0,42,2487805.403,0.305,0.215,0.070,-0.925,0,0,0,0,94,0,0,0,50,0.983,1,1529,0,177.460,25.295,-136.063,93.563,-65.000,1.469,0.715,2.387,-25.027,3.668,-0.285,0.718,0.970,1.016,1.190,0,NULL,NULL,,2,0,2,7,255,1339,250,0,0
pre_stim,42,42,0,42,2487810.400,0.306,0.219,0.073,-0.923,0,0,0,0,123,0,0,0,50,0.983,1,1529,0,137.055,25.437,-88.375,87.688,-57.313,1.609,0.777,1.980,-25.230,3.234,-0.285,0.556,0.808,1.016,1.190,0,NULL,NULL,,2,0,2,7,255,1339,250,0,0
pre_stim,42,42,0,42,2487815.405,0.308,0.223,0.076,-0.922,0,0,0,0,149,0,0,0,50,0.983,1,1529,0,118.316,25.437,-68.375,79.750,-54.438,1.813,0.758,1.559,-25.230,3.234,-3.680,0.400,0.650,1.016,1.190,0,NULL,NULL,,2,0,2,7,255,1339,250,0,0
pre_stim,43,43,0,43,2487820.386,0.310,0.226,0.079,-0.920,0,0,0,0,172,0,0,0,50,0.983,1,1529,0,132.997,24.546,-92.063,64.313,-71.250,1.816,0.738,1.574,-24.090,4.711,-8.137,0.252,0.498,1.016,1.190,0,NULL,NULL,,2,0,2,7,255,1339,250,0,0
pre_stim,43,43,0,43,2487825.402,0.312,0.229,0.085,-0.918,0,0,0,0,185,0,0,0,50,0.983,1,1529,0,142.581,24.546,-110.875,33.563,-83.125,1.797,0.852,1.957,-24.090,4.711,-8.137,0.126,0.366,1.016,1.190,0,NULL,NULL,,2,0,2,7,255,1339,250,0,0
