condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,71,71,0,71,854674.232,0.749,-0.419,-0.126,0.498,0,0,0,0,0,0,0,151,41,0.000,15,0,24.268,8.867,17.188,17.000,2.125,0.191,0.342,0.941,0.860,-7.852,-4.028,0.000,0.000,0.222,0.509,0,NULL,NULL,1187.000,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854679.221,0.749,-0.419,-0.126,0.498,0,0,0,0,0,0,0,165,41,0.000,15,0,19.694,8.750,16.250,11.063,1.188,0.173,0.365,0.946,0.972,-7.852,-3.736,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854684.222,0.748,-0.420,-0.126,0.498,0,0,0,0,0,0,0,182,41,0.000,15,0,15.701,8.574,14.875,5.000,-0.500,0.164,0.375,0.934,1.058,-7.762,-3.486,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854689.230,0.748,-0.420,-0.126,0.498,0,0,0,0,0,0,0,183,41,0.000,15,0,14.729,8.443,14.500,-1.563,-2.063,0.157,0.382,0.913,1.128,-7.606,-3.486,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854694.238,0.748,-0.421,-0.125,0.498,0,0,0,0,0,0,0,196,41,0.000,15,0,18.036,8.275,15.125,-9.375,-2.938,0.154,0.399,0.896,1.196,-7.408,-3.488,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854699.221,0.747,-0.421,-0.124,0.499,0,0,0,0,0,0,0,187,41,0.000,15,0,24.595,8.164,16.438,-17.563,-5.125,0.156,0.417,0.892,1.356,-7.256,-3.488,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854704.218,0.747,-0.421,-0.123,0.500,0,0,0,0,0,0,0,187,41,0.000,15,0,31.971,8.188,18.188,-24.750,-8.875,0.173,0.410,0.894,1.494,-7.256,-3.488,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854709.219,0.746,-0.421,-0.122,0.501,0,0,0,0,0,0,0,190,41,0.000,15,0,38.525,8.289,20.313,-30.625,-11.563,0.197,0.387,0.897,1.494,-7.344,-3.542,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854714.232,0.746,-0.421,-0.121,0.502,0,0,0,0,0,0,0,191,41,0.000,15,0,42.916,8.550,21.938,-35.188,-11.063,0.220,0.377,0.894,1.386,-7.542,-3.782,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854719.228,0.745,-0.421,-0.119,0.503,0,0,0,0,0,0,0,199,41,0.000,15,0,45.057,8.667,23.375,-37.625,-8.250,0.215,0.393,0.902,1.386,-7.666,-3.798,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854724.232,0.745,-0.421,-0.118,0.504,0,0,0,0,0,0,0,201,41,0.000,15,0,48.029,8.675,24.438,-40.813,-6.625,0.173,0.437,0.927,1.436,-7.666,-3.798,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854729.257,0.744,-0.420,-0.116,0.506,0,0,0,0,0,0,0,189,41,0.000,15,0,54.437,8.322,24.375,-47.938,-8.438,0.141,0.484,0.943,1.490,-7.552,-3.162,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854734.231,0.744,-0.422,-0.113,0.506,0,0,0,73,0,0,0,215,41,0.000,15,0,76.064,8.126,63.313,-35.125,23.313,-0.373,0.096,1.595,1.490,-7.552,-2.604,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854739.226,0.744,-0.435,-0.101,0.496,20,0,0,376,0,0,0,202,41,0.000,15,0,478.554,11.078,352.313,68.688,316.500,-1.460,-0.133,3.530,-5.962,-9.122,1.992,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,854744.237,0.747,-0.443,-0.092,0.487,92,0,0,649,0,0,0,227,41,0.000,15,0,344.283,19.556,179.313,37.000,291.563,-0.648,1.674,2.144,-5.962,-10.414,15.442,0.000,0.000,0.222,0.509,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
