condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,63,63,0,63,294489.786,0.724,0.228,0.103,0.643,0,0,1237,0,612,9,1133,272,18,0.685,10,0,296.030,7.374,-166.125,-240.250,-48.125,0.112,0.050,1.423,3.848,4.502,4.394,1.784,1.800,1.062,1.013,0,NULL,NULL,1060.000,0,0,0,7,255,0,250,0,0
baseline,63,63,0,63,294494.787,0.720,0.240,0.107,0.642,0,0,953,0,429,4,1045,217,18,0.685,10,0,300.012,6.380,-156.500,-250.750,-51.375,0.044,0.085,1.396,3.304,4.502,3.086,1.802,1.816,1.062,1.013,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,63,294499.787,0.716,0.252,0.112,0.642,0,0,699,0,303,5,926,169,18,0.685,10,0,308.337,6.597,-149.500,-261.688,-65.125,0.095,0.156,1.401,3.304,5.198,2.364,1.820,1.832,1.062,1.013,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,63,294504.786,0.712,0.263,0.116,0.641,0,0,495,0,200,9,747,123,18,0.685,10,0,296.563,7.080,-132.375,-260.875,-48.688,0.226,0.174,1.504,4.186,5.198,2.364,1.838,1.850,1.062,1.013,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,64,294509.787,0.708,0.275,0.121,0.639,0,0,549,0,123,20,553,95,18,0.685,10,0,292.191,7.550,-123.188,-263.375,-28.875,0.233,0.007,1.646,4.186,5.198,3.530,1.854,1.866,1.062,1.013,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,294514.786,0.705,0.286,0.126,0.636,0,0,462,0,37,33,343,53,18,0.685,10,0,307.033,7.745,-130.188,-277.938,-8.438,0.122,-0.040,1.571,3.658,5.680,3.788,1.872,1.882,1.062,1.013,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,294519.787,0.703,0.298,0.130,0.632,0,0,359,0,0,42,153,30,18,0.685,10,0,309.135,7.469,-140.688,-274.938,13.438,0.274,-0.084,1.423,3.030,5.680,3.788,1.888,1.896,1.062,1.013,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,294524.787,0.700,0.310,0.135,0.629,0,0,267,0,0,43,11,18,18,0.685,10,0,309.319,7.701,-134.250,-278.500,9.625,0.082,0.153,1.314,3.030,6.292,3.246,1.904,1.912,1.062,1.013,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,294529.787,0.698,0.322,0.139,0.625,0,0,155,0,0,52,0,10,18,0.685,10,0,317.314,7.748,-135.500,-286.375,17.813,-0.001,0.469,1.191,4.480,6.292,0.612,1.920,1.926,1.062,1.013,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,294534.786,0.695,0.335,0.144,0.620,0,0,63,0,0,51,0,0,18,0.685,10,0,318.928,9.547,-144.375,-283.188,26.000,0.077,0.433,1.188,6.994,6.292,-1.626,1.936,1.940,1.062,1.013,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
