condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,42,42,0,42,4581841.832,-0.851,-0.060,0.058,0.518,2877,775,2283,2987,2415,2147,996,2367,10,0.000,63,0,0.647,0.068,0.240,-0.040,0.600,-0.303,-0.005,0.956,-0.038,0.042,-0.038,0.000,0.000,0.841,1.005,3,NULL,NULL,1391.000,0,0,0,7,255,0,250,0,0
baseline,42,42,0,42,4581846.832,-0.851,-0.060,0.058,0.518,2877,767,2285,2985,2414,2147,997,2367,10,0.000,63,0,0.175,0.052,0.060,0.160,0.040,-0.315,-0.015,0.959,-0.038,0.036,0.004,0.000,0.000,0.841,1.005,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,42,42,0,42,4581851.832,-0.851,-0.060,0.058,0.518,2877,773,2284,2984,2415,2147,997,2367,10,0.000,63,0,1.345,0.119,-0.060,-0.340,-1.300,-0.315,-0.016,0.962,-0.016,-0.092,0.074,0.000,0.000,0.841,1.005,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,42,42,0,42,4581856.833,-0.851,-0.060,0.058,0.518,2876,775,2285,2985,2415,2147,996,2367,10,0.000,63,0,1.550,0.119,0.000,-0.460,-1.480,-0.301,-0.002,0.959,-0.016,-0.092,0.074,0.000,0.000,0.841,1.005,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,47,4581861.833,-0.851,-0.060,0.058,0.518,2877,766,2285,2984,2419,2147,995,2367,10,0.000,63,0,0.204,0.102,0.000,-0.040,-0.200,-0.296,0.003,0.952,-0.064,0.076,0.024,0.000,0.000,0.841,1.005,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,47,4581866.832,-0.851,-0.060,0.058,0.518,2875,766,2287,2984,2419,2147,996,2373,10,0.000,63,0,0.319,0.101,0.060,0.280,-0.140,-0.311,-0.015,0.955,-0.064,0.076,0.020,0.000,0.000,0.841,1.005,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,47,4581871.832,-0.851,-0.060,0.058,0.518,2875,763,2287,2983,2418,2143,992,2367,10,0.000,63,0,1.851,0.081,0.120,-0.160,-1.840,-0.314,-0.020,0.963,-0.002,-0.078,0.020,0.000,0.000,0.841,1.005,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,47,4581876.832,-0.851,-0.060,0.058,0.518,2875,766,2291,2982,2422,2147,997,2373,10,0.000,63,0,1.900,0.081,-0.180,-0.640,-1.780,-0.299,-0.004,0.956,-0.002,-0.078,0.020,0.000,0.000,0.841,1.005,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,4581881.832,-0.851,-0.060,0.058,0.518,2875,764,2289,2983,2419,2147,997,2367,10,0.000,63,0,0.681,0.012,0.000,0.520,-0.440,-0.302,-0.012,0.949,0.000,0.000,-0.012,0.000,0.000,0.841,1.005,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,4581886.832,-0.851,-0.060,0.058,0.518,2872,766,2291,2979,2421,2147,996,2373,10,0.000,63,0,1.425,0.012,-0.120,0.020,-1.420,-0.310,-0.030,0.957,0.000,0.000,-0.012,0.000,0.000,0.841,1.005,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
