condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,0,0,0,0,501702.813,0.951,-0.051,-0.052,-0.302,16,0,2469,171,2669,2232,1435,2920,32,0.419,68,0,57.531,0.997,-11.313,-49.250,27.500,-0.123,0.078,1.051,-0.158,-0.718,0.674,1.018,1.258,0.118,0.476,3,NULL,NULL,1068.000,0,0,0,7,255,0,250,0,0
baseline,0,0,0,0,501707.849,0.950,-0.052,-0.050,-0.303,10,0,2439,147,2683,2201,1459,2920,32,0.419,68,0,60.703,0.960,-8.063,-51.375,31.313,-0.098,0.138,1.053,-0.158,-0.718,0.618,1.006,1.248,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,8,8,0,8,501712.845,0.950,-0.052,-0.048,-0.304,8,0,2467,122,2699,2183,1472,2923,32,0.419,68,0,61.353,0.721,-8.625,-51.938,31.500,-0.094,0.163,1.060,-0.330,-0.170,0.618,0.988,1.234,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,8,8,0,8,501717.808,0.950,-0.053,-0.046,-0.305,9,0,2467,99,2705,2167,1502,2920,32,0.419,68,0,62.122,0.853,-6.688,-54.563,28.938,-0.110,0.178,1.079,-0.476,0.008,0.708,0.968,1.218,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,8,8,0,8,501722.848,0.949,-0.053,-0.043,-0.306,8,0,2499,87,2721,2125,1525,2901,32,0.419,68,0,66.528,1.058,-6.563,-57.500,32.813,-0.073,0.189,1.085,-0.528,0.024,0.916,0.950,1.202,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,45,45,0,45,501727.807,0.949,-0.054,-0.040,-0.308,3,0,2491,73,2715,2093,1559,2933,32,0.419,68,0,68.096,1.082,-9.063,-57.438,35.438,-0.053,0.137,1.089,-0.528,0.008,0.944,0.928,1.182,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,45,45,0,45,501732.812,0.949,-0.054,-0.038,-0.309,0,0,2499,78,2720,2038,1580,2942,32,0.419,68,0,71.842,1.083,-8.438,-60.500,37.813,-0.089,0.150,1.083,-0.528,-0.054,0.944,0.898,1.156,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,46,46,0,46,501737.807,0.948,-0.055,-0.035,-0.311,0,0,2503,56,2729,1979,1623,2925,32,0.419,68,0,75.193,1.053,-8.500,-62.250,41.313,-0.060,0.169,1.086,-0.464,-0.054,0.944,0.868,1.128,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,72,72,0,72,501742.812,0.948,-0.055,-0.032,-0.312,0,0,2504,44,2747,1909,1622,2927,32,0.419,68,0,77.969,1.091,-10.625,-64.250,42.875,-0.083,0.169,1.091,-0.534,-0.076,0.948,0.838,1.102,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,72,72,0,72,501747.852,0.947,-0.056,-0.029,-0.314,0,0,2515,48,2761,1875,1652,2935,32,0.419,68,0,80.775,1.220,-9.063,-67.375,43.625,-0.093,0.166,1.105,-0.698,-0.076,0.998,0.812,1.078,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,72,72,0,72,501752.844,0.947,-0.057,-0.026,-0.316,0,0,2569,29,2752,1830,1671,2933,32,0.419,68,0,83.945,1.330,-11.250,-69.313,46.000,-0.067,0.173,1.119,-0.698,-0.076,1.130,0.788,1.056,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,72,72,0,72,501757.812,0.946,-0.057,-0.023,-0.318,0,0,2505,25,2771,1803,1687,2936,32,0.419,68,0,87.655,1.439,-12.563,-72.875,47.063,-0.077,0.181,1.110,-0.808,-0.080,1.188,0.764,1.036,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,72,72,0,72,501762.807,0.946,-0.058,-0.020,-0.319,0,0,2488,22,2765,1768,1712,2939,32,0.419,68,0,90.521,1.519,-13.875,-75.000,48.750,-0.059,0.194,1.114,-0.888,-0.046,1.232,0.742,1.016,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,72,72,0,72,501767.807,0.945,-0.058,-0.016,-0.321,0,0,2419,16,2781,1739,1733,2933,32,0.419,68,0,92.341,1.487,-13.250,-77.375,48.625,-0.086,0.154,1.107,-0.890,-0.080,1.188,0.720,0.998,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,89,89,0,89,501772.807,0.945,-0.059,-0.013,-0.323,0,0,2569,12,2780,1707,1761,2926,32,0.419,68,0,94.633,1.602,-19.250,-81.063,44.875,-0.120,0.169,1.173,-0.938,-0.412,1.232,0.700,0.980,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,89,89,0,89,501777.841,0.944,-0.059,-0.009,-0.324,0,0,2565,10,2789,1673,1769,2921,32,0.419,68,0,97.399,1.790,-23.313,-86.625,37.938,-0.100,0.135,1.131,-1.070,-0.604,1.302,0.680,0.962,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,89,89,0,89,501782.842,0.944,-0.059,-0.005,-0.326,0,0,2547,0,2797,1623,1786,2931,32,0.419,68,0,98.888,1.843,-24.938,-87.688,38.313,-0.036,0.187,1.131,-1.070,-0.604,1.374,0.658,0.944,0.118,0.476,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
