experiment_id,experiment_type,subject_id,note,random_seed,created_at,order_index,block_index,condition_id,mode,direction_percent,first_half_direction_percent,second_half_direction_percent,pulse_duration_ms,pulse_phase,sine_amplitude_percent,sine_period_steps
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,1,0,B01,baseline,,,,,,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,2,1,C19,pulse,0,0,0,200,P_start,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,3,1,C17,pulse,20,20,-20,300,P_end,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,4,1,C22,pulse,0,0,0,250,P_start,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,5,1,C18,pulse,20,-20,20,300,P_mid,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,6,1,C25,pulse,0,0,0,300,P_start,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,7,1,C12,pulse,20,20,-20,200,P_mid,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,8,2,C02,pulse,10,10,-10,200,P_end,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,9,2,S01,sine,,,,,P_mid,20,400
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,10,2,C16,pulse,20,-20,20,300,P_start,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,11,2,C21,pulse,0,0,0,200,P_mid,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,12,2,C08,pulse,10,10,-10,300,P_end,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,13,2,C01,pulse,10,10,-10,200,P_start,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,14,3,C14,pulse,20,20,-20,250,P_end,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,15,3,C03,pulse,10,10,-10,200,P_mid,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,16,3,C23,pulse,0,0,0,250,P_end,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,17,3,C07,pulse,10,10,-10,300,P_start,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,18,3,C06,pulse,10,10,-10,250,P_mid,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,19,3,C10,pulse,20,20,-20,200,P_start,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,20,4,C20,pulse,0,0,0,200,P_end,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,21,4,C13,pulse,20,20,-20,250,P_start,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,22,4,C09,pulse,10,10,-10,300,P_mid,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,23,4,C26,pulse,0,0,0,300,P_end,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,24,4,C24,pulse,0,0,0,250,P_mid,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,25,4,C11,pulse,20,-20,20,200,P_end,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,26,5,C04,pulse,10,10,-10,250,P_start,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,27,5,C15,pulse,20,20,-20,250,P_mid,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,28,5,C27,pulse,0,0,0,300,P_mid,,
EX0525-174237,experiment_1,1,,154974,2026-05-25T17:42:37.030859,29,5,C05,pulse,10,10,-10,250,P_end,,
