condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,34,34,0,503126.023,0.588,0.181,-0.071,-0.785,1717,0,18,2220,0,93,0,243,31,0.000,330,0,5.152,0.290,-0.880,3.320,-3.840,-0.323,0.039,0.907,-0.240,-0.162,0.292,0.000,0.000,0.239,0.235,0,NULL,NULL,2,0,1,7,255,1040,200,0,0
pre_stim,34,34,0,503131.025,0.588,0.181,-0.071,-0.785,1707,0,13,2207,0,92,0,239,31,0.000,330,0,7.674,0.262,-5.520,-0.340,-5.320,-0.389,-0.121,0.921,-0.240,-0.104,0.000,0.000,0.000,0.239,0.235,0,NULL,NULL,2,0,1,7,255,1040,200,3,0
pre_stim,34,34,0,503136.023,0.588,0.181,-0.070,-0.785,1711,0,18,2206,0,92,0,239,31,0.000,330,0,5.718,0.196,-5.160,0.340,2.440,-0.416,-0.100,0.934,0.166,-0.104,0.000,0.000,0.000,0.239,0.235,0,NULL,NULL,2,0,1,7,255,1040,200,8,0
pre_stim,34,34,0,503141.025,0.588,0.181,-0.071,-0.785,1707,0,11,2201,0,87,0,244,31,0.000,330,0,4.622,0.196,-2.160,2.040,-3.540,-0.328,0.017,0.924,0.166,-0.104,0.000,0.000,0.000,0.239,0.235,0,NULL,NULL,2,0,1,7,255,1040,200,13,0
pre_stim,48,48,0,503146.023,0.588,0.181,-0.071,-0.785,1708,0,16,2205,0,92,0,239,31,0.000,330,0,7.015,0.224,-5.580,0.880,-4.160,-0.398,-0.114,0.938,0.166,-0.150,0.172,0.000,0.000,0.239,0.235,0,NULL,NULL,2,0,1,7,255,1040,200,18,0
pre_stim,48,48,0,503151.025,0.588,0.181,-0.071,-0.785,1709,0,17,2213,0,91,0,243,31,0.000,330,0,2.956,0.361,-2.520,1.020,1.160,-0.391,-0.047,0.904,-0.328,-0.150,-0.228,0.000,0.000,0.239,0.235,0,NULL,NULL,2,0,1,7,255,1040,200,23,0
pre_stim,48,48,0,503156.023,0.588,0.181,-0.071,-0.785,1683,0,19,2211,0,92,0,241,31,0.000,330,0,6.726,0.361,-4.960,0.460,-4.520,-0.348,-0.057,0.949,-0.328,-0.150,0.040,0.000,0.000,0.239,0.235,0,NULL,NULL,2,0,1,7,255,1040,200,28,0
pre_stim,48,48,0,503161.025,0.588,0.181,-0.071,-0.785,1707,0,19,2211,0,89,0,239,31,0.000,330,0,3.684,0.508,-3.020,1.800,-1.100,-0.403,-0.062,0.911,-0.328,-0.388,-0.100,0.000,0.000,0.239,0.235,0,NULL,NULL,2,0,1,7,255,1040,200,33,0
pre_stim,49,49,0,503166.023,0.588,0.181,-0.071,-0.785,1707,0,18,2212,0,91,0,238,31,0.000,330,0,4.949,0.291,-4.420,0.340,-2.200,-0.358,-0.066,0.936,-0.286,0.056,-0.038,0.000,0.000,0.239,0.235,0,NULL,NULL,2,0,1,7,255,1040,200,38,0
pre_stim,49,49,0,503171.025,0.588,0.181,-0.071,-0.785,1709,0,19,2215,0,87,0,239,31,0.000,330,0,4.684,0.413,-3.500,1.440,-2.760,-0.384,-0.042,0.918,-0.286,-0.298,-0.100,0.000,0.000,0.239,0.235,0,NULL,NULL,2,0,1,7,255,1040,200,43,0
pre_stim,83,83,0,503176.023,0.588,0.181,-0.071,-0.785,1705,0,17,2213,0,92,0,236,31,0.000,330,0,4.466,0.286,-4.000,0.880,-1.780,-0.370,-0.084,0.935,-0.286,0.000,-0.038,0.000,0.000,0.239,0.235,0,NULL,NULL,2,0,1,7,255,1040,200,48,0
