condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,15,15,0,15,524954.787,-0.957,0.003,0.031,0.289,989,731,2827,2031,2908,2357,2613,2901,33,0.850,145,0,32.218,0.324,-24.813,-12.500,-16.313,-0.087,-0.039,1.019,0.254,-0.056,0.194,0.008,0.022,0.943,1.135,2,NULL,NULL,1060.000,2,0,1,7,255,1060,200,0,0
pre_stim,15,15,0,15,524959.787,-0.957,0.003,0.030,0.289,857,687,2825,1949,2920,2357,2621,2887,33,0.850,145,0,26.958,0.653,-21.750,-12.875,-9.375,-0.088,-0.033,0.998,0.618,-0.130,0.168,0.008,0.024,0.943,1.135,2,NULL,NULL,,2,0,1,7,255,1060,200,0,0
pre_stim,15,15,0,15,524964.786,-0.957,0.002,0.029,0.289,744,664,2839,1824,2937,2341,2615,2895,33,0.850,145,0,25.574,0.642,-20.938,-14.375,-3.000,-0.159,-0.002,0.989,0.618,-0.174,-0.022,0.006,0.026,0.943,1.135,2,NULL,NULL,,2,0,1,7,255,1060,200,0,0
pre_stim,31,31,0,31,524969.787,-0.957,0.001,0.029,0.289,606,614,2855,1695,2953,2345,2661,2904,33,0.850,145,0,24.359,0.204,-17.000,-16.313,-6.188,-0.143,0.035,1.022,-0.156,-0.130,-0.022,0.006,0.028,0.943,1.135,3,NULL,NULL,,2,0,1,7,255,1060,200,0,0
pre_stim,31,31,0,31,524974.786,-0.957,0.001,0.028,0.289,509,573,2867,1591,2967,2325,2680,2913,33,0.850,145,0,24.596,0.327,-16.688,-17.563,-4.250,-0.140,0.019,1.042,-0.156,0.056,0.282,0.004,0.030,0.943,1.135,3,NULL,NULL,,2,0,1,7,255,1060,200,0,0
pre_stim,31,31,0,31,524979.787,-0.957,0.000,0.027,0.289,380,551,2867,1453,2933,2309,2681,2921,33,0.850,145,0,27.363,0.305,-20.063,-18.250,-3.625,-0.109,0.000,1.022,-0.098,0.062,0.282,0.004,0.032,0.943,1.135,3,NULL,NULL,,2,0,1,7,255,1060,200,0,0
pre_stim,31,31,0,31,524984.787,-0.957,-0.000,0.025,0.289,251,506,2871,1351,2989,2287,2708,2927,33,0.850,145,0,25.406,0.329,-15.125,-20.375,-1.250,-0.085,-0.001,1.011,0.214,0.062,0.242,0.004,0.034,0.943,1.135,3,NULL,NULL,,2,0,1,7,255,1060,200,0,0
pre_stim,60,60,0,60,524989.787,-0.957,-0.000,0.024,0.289,147,471,2905,1200,2985,2249,2716,2952,33,0.850,145,0,27.882,0.365,-13.625,-22.625,8.938,-0.084,0.047,1.041,0.214,0.170,0.242,0.004,0.034,0.943,1.135,3,NULL,NULL,,2,0,1,7,255,1060,200,0,0
pre_stim,60,60,0,60,524994.786,-0.957,-0.000,0.023,0.290,77,439,2901,1109,2999,2233,2711,2957,33,0.850,145,0,31.171,0.715,-14.563,-24.563,12.500,-0.120,0.080,1.068,0.128,0.586,0.390,0.004,0.036,0.943,1.135,3,NULL,NULL,,2,0,1,7,255,1060,200,0,0
pre_stim,80,80,0,80,524999.787,-0.957,-0.001,0.022,0.290,59,393,2921,1000,3003,2199,2747,2948,33,0.850,145,0,32.334,1.028,-16.000,-26.375,9.688,-0.125,0.100,1.076,-0.336,0.674,0.700,0.004,0.038,0.943,1.135,3,NULL,NULL,,2,0,1,7,255,1060,200,0,0
