condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,57,57,0,57,22830.342,0.591,0.247,0.132,0.757,0,0,2181,0,2476,53,1869,1673,31,0.608,1,6,0,231.881,8.782,-46.188,-227.188,-4.625,-0.125,0.340,1.672,5.867,4.832,4.398,0.096,0.068,1.229,1.200,3,NULL,NULL,1069.000,0,0,0,7,255,0,250,0,0
baseline,57,57,0,57,22835.346,0.589,0.255,0.136,0.754,0,0,2023,0,2375,48,1831,1556,31,0.608,1,6,0,238.527,9.527,-43.188,-234.563,3.250,-0.117,0.434,1.813,6.051,5.551,4.832,0.094,0.068,1.229,1.200,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,57,57,0,57,22840.345,0.587,0.265,0.140,0.752,0,0,1877,0,2295,30,1792,1435,31,0.608,1,6,0,252.675,11.105,-75.500,-240.688,-14.625,-0.164,0.465,1.871,7.273,5.953,5.914,0.094,0.068,1.229,1.200,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,57,57,0,57,22845.349,0.583,0.276,0.144,0.750,0,0,1693,0,2165,11,1754,1267,31,0.608,1,6,0,265.920,11.639,-87.375,-248.688,-35.125,-0.035,0.578,1.957,7.969,5.953,6.043,0.094,0.070,1.229,1.200,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,57,57,0,57,22850.334,0.579,0.287,0.146,0.749,0,0,1463,0,2021,15,1679,1124,31,0.608,1,6,0,277.184,12.595,-111.500,-246.875,-58.750,-0.059,0.262,2.020,7.969,6.805,6.988,0.094,0.072,1.229,1.200,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,57,57,0,57,22855.361,0.574,0.297,0.150,0.748,0,0,1245,0,1833,17,1577,989,31,0.608,1,6,0,270.920,12.359,-94.500,-243.500,-71.938,0.066,0.234,2.141,6.566,7.289,7.516,0.096,0.074,1.229,1.200,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,57,57,0,57,22860.334,0.569,0.308,0.152,0.747,0,0,1005,0,1655,0,1450,857,31,0.608,1,6,0,279.379,12.612,-126.063,-238.375,-73.063,0.055,0.141,2.027,6.551,7.484,7.754,0.096,0.074,1.229,1.200,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,57,57,0,57,22865.346,0.564,0.319,0.154,0.746,0,0,781,0,1461,0,1311,721,31,0.608,1,6,0,293.753,12.497,-128.938,-255.000,-68.125,0.133,0.355,1.938,6.551,7.289,7.754,0.096,0.076,1.229,1.200,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,22870.341,0.559,0.332,0.156,0.744,0,0,627,0,1272,0,1129,646,31,0.608,1,6,0,326.927,11.332,-153.188,-280.938,-67.000,0.137,0.266,1.723,6.586,6.125,6.895,0.096,0.078,1.229,1.200,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,22875.349,0.554,0.345,0.159,0.741,0,0,471,0,1039,0,917,535,31,0.608,1,6,0,342.196,10.053,-141.438,-307.438,-50.750,0.199,0.230,1.645,6.586,5.738,4.977,0.096,0.080,1.229,1.200,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
