condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,153321,153321,0,231702.173,0.561,0.122,0.050,-0.817,3896,506,969,3411,273,1918,675,1368,53,1.178,109,1,21.244,0.144,12.020,-1.640,17.440,-0.201,0.229,0.970,0.008,-0.144,0.022,0.186,0.020,1.333,1.272,2,0,0,0,7,255,0,250,0,0
baseline,153321,153321,0,231707.233,0.560,0.121,0.050,-0.818,3879,506,1019,3409,277,1917,651,1269,53,1.178,109,1,21.626,0.132,11.600,-0.660,18.240,-0.157,0.204,0.971,0.116,-0.064,0.022,0.184,0.018,1.333,1.272,2,0,0,0,7,255,0,250,0,0
baseline,153321,153321,0,231712.173,0.560,0.121,0.050,-0.818,3886,531,1019,3384,275,1931,695,1307,53,1.178,109,1,17.709,0.453,13.000,0.380,12.020,-0.142,0.191,0.978,0.212,0.400,0.028,0.182,0.014,1.333,1.272,2,0,0,0,7,255,0,250,0,0
baseline,153321,153321,0,231717.172,0.560,0.120,0.049,-0.818,3879,545,1043,3415,270,1934,636,1291,53,1.178,109,1,15.108,0.453,12.700,0.200,8.180,-0.179,0.222,0.950,0.212,0.400,0.014,0.180,0.012,1.333,1.272,2,0,0,0,7,255,0,250,0,0
baseline,153322,153322,0,231722.174,0.559,0.120,0.049,-0.819,3879,539,1036,3380,279,1911,696,1335,53,1.178,109,1,14.758,0.159,10.440,-0.480,10.420,-0.202,0.228,0.950,0.134,0.086,-0.044,0.178,0.010,1.333,1.272,2,0,0,0,7,255,0,250,0,0
baseline,153322,153322,0,231727.172,0.559,0.120,0.049,-0.819,3878,535,1066,3399,279,1878,719,1331,53,1.178,109,1,15.944,0.159,8.900,-1.140,13.180,-0.188,0.203,0.968,0.134,0.086,-0.044,0.178,0.006,1.333,1.272,2,0,0,0,7,255,0,250,0,0
baseline,153338,153338,0,231732.172,0.559,0.119,0.049,-0.819,3862,492,1076,3343,280,1865,719,1335,53,1.178,109,1,16.970,0.365,9.460,-2.300,13.900,-0.191,0.189,0.980,0.346,0.116,0.040,0.176,0.004,1.333,1.272,2,0,0,0,7,255,0,250,0,0
baseline,153338,153338,0,231737.173,0.558,0.119,0.049,-0.820,3832,485,1049,3336,285,1871,765,1271,53,1.178,109,1,16.864,0.377,9.460,-2.240,13.780,-0.180,0.202,0.961,0.346,0.150,0.040,0.174,0.002,1.333,1.272,2,0,0,0,7,255,0,250,0,0
baseline,153339,153339,0,231742.173,0.558,0.118,0.049,-0.820,3820,493,1106,3341,275,1869,781,1301,53,1.178,109,1,13.580,0.358,8.720,-2.680,10.060,-0.166,0.219,0.953,0.320,0.160,-0.034,0.174,0.002,1.333,1.272,2,0,0,0,7,255,0,250,0,0
baseline,153339,153339,0,231747.172,0.558,0.118,0.049,-0.820,3835,503,1080,3339,277,1856,788,1291,53,1.178,109,1,10.967,0.196,7.200,-3.220,7.620,-0.187,0.228,0.945,0.114,0.160,-0.098,0.174,0.000,1.333,1.272,2,0,0,0,7,255,0,250,0,0
baseline,153357,153357,0,231752.172,0.558,0.118,0.049,-0.820,3819,507,1080,3323,280,1838,813,1293,53,1.178,109,1,10.548,0.112,5.120,-4.140,8.240,-0.199,0.232,0.948,0.110,-0.022,-0.098,0.000,0.000,1.333,1.272,2,0,0,0,7,255,0,250,0,0
baseline,153357,153357,0,231757.172,0.557,0.117,0.048,-0.820,3790,469,1131,3311,335,1811,853,1175,53,1.178,109,1,12.334,0.180,4.520,-5.180,10.240,-0.209,0.232,0.958,0.110,-0.142,-0.058,0.000,0.000,1.333,1.272,2,0,0,0,7,255,0,250,0,0
