condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,161837,161837,0,341363.412,-0.990,-0.134,0.046,0.021,3167,29,221,2957,358,1658,491,4095,49,1.156,129,1,23.849,0.190,20.020,-7.680,-10.440,-0.308,-0.266,0.970,0.012,0.190,0.448,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161837,161837,0,341368.412,-0.990,-0.134,0.046,0.020,3141,35,264,2939,356,1669,495,4095,49,1.156,129,1,28.596,0.199,25.380,-8.960,-9.660,-0.286,-0.283,0.940,0.058,0.190,0.388,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161837,161837,0,341373.412,-0.990,-0.133,0.045,0.019,3049,36,243,2941,363,1641,501,4095,49,1.156,129,1,32.286,0.191,27.700,-10.300,-13.000,-0.273,-0.285,0.917,0.174,-0.078,0.100,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161837,161837,0,341378.412,-0.990,-0.132,0.044,0.019,3090,10,301,2907,355,1707,477,4095,49,1.156,129,1,34.603,0.252,27.460,-12.200,-17.160,-0.274,-0.288,0.903,0.174,-0.182,-0.146,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161837,161837,0,341383.412,-0.990,-0.131,0.044,0.017,3079,0,319,2903,364,1685,476,4095,49,1.156,129,1,35.800,0.296,26.000,-13.120,-20.820,-0.278,-0.299,0.906,0.142,-0.260,-0.184,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161837,161837,0,341388.412,-0.990,-0.130,0.043,0.016,3055,4,347,2897,364,1673,493,4095,49,1.156,129,1,37.579,0.352,26.080,-14.280,-22.980,-0.289,-0.300,0.923,0.106,-0.336,-0.184,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161901,161901,0,341393.412,-0.991,-0.129,0.042,0.015,3063,7,379,2888,368,1643,492,4095,49,1.156,129,1,40.423,0.338,28.820,-17.160,-22.560,-0.302,-0.297,0.948,0.034,-0.336,-0.002,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161901,161901,0,341398.412,-0.991,-0.128,0.041,0.014,3054,6,439,2889,379,1669,500,4095,49,1.156,129,1,43.015,0.287,32.000,-18.500,-22.000,-0.301,-0.293,0.931,-0.040,-0.284,0.084,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161901,161901,0,341403.412,-0.991,-0.127,0.040,0.013,3036,4,459,2869,355,1674,491,4095,49,1.156,129,1,45.477,0.304,34.240,-19.600,-22.620,-0.299,-0.300,0.921,-0.108,-0.284,0.084,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161901,161901,0,341408.412,-0.991,-0.126,0.039,0.012,3045,2,492,2867,356,1717,501,4095,49,1.156,129,1,46.464,0.392,34.860,-20.020,-23.300,-0.296,-0.293,0.913,-0.136,-0.368,0.006,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161901,161901,0,341413.414,-0.991,-0.125,0.038,0.010,3032,8,512,2863,377,1735,503,4095,49,1.156,129,1,45.610,0.392,33.700,-21.000,-22.440,-0.289,-0.281,0.916,-0.136,-0.368,-0.092,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161901,161901,0,341418.412,-0.992,-0.123,0.037,0.009,3027,56,532,2867,377,1737,505,4095,49,1.156,129,1,44.502,0.286,32.720,-21.920,-20.720,-0.280,-0.262,0.919,-0.100,-0.268,-0.116,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161902,161902,0,341423.412,-0.992,-0.122,0.036,0.008,3005,59,599,2856,395,1745,512,4095,49,1.156,129,1,42.662,0.112,32.300,-20.880,-18.460,-0.279,-0.231,0.923,-0.054,-0.098,-0.154,0.000,0.000,1.117,1.203,2,0,0,0,7,255,0,250,0,0
baseline,161902,161902,0,341428.412,-0.992,-0.121,0.035,0.007,2999,107,565,2842,375,1704,527,1083,49,1.108,129,0,40.468,0.175,32.360,-19.180,-14.920,-0.276,-0.216,0.939,-0.042,0.170,-0.154,0.000,0.000,1.098,1.175,3,0,0,0,7,255,0,250,0,0
baseline,161902,161902,0,341433.412,-0.992,-0.120,0.034,0.007,3003,152,635,2857,379,1719,525,1067,49,1.108,129,0,40.750,0.334,33.700,-19.120,-12.620,-0.265,-0.214,0.955,-0.006,0.334,-0.094,0.002,0.002,1.098,1.175,3,0,0,0,7,255,0,250,0,0
baseline,161902,161902,0,341438.412,-0.992,-0.118,0.033,0.006,2989,173,605,2841,394,1683,553,1091,49,1.108,129,0,41.850,0.378,35.160,-19.720,-11.240,-0.256,-0.206,0.952,0.126,0.356,-0.058,0.006,0.004,1.098,1.175,3,0,0,0,7,255,0,250,0,0
baseline,161902,161902,0,341443.412,-0.993,-0.117,0.032,0.005,2971,190,583,2828,376,1629,550,1105,49,1.108,129,0,43.196,0.398,36.620,-19.340,-12.280,-0.249,-0.210,0.948,0.178,0.356,-0.058,0.008,0.006,1.098,1.175,3,0,0,0,7,255,0,250,0,0
baseline,161902,161902,0,341448.412,-0.993,-0.115,0.031,0.004,2959,187,601,2825,379,1691,567,1113,49,1.108,129,0,44.018,0.374,37.480,-18.120,-14.300,-0.246,-0.215,0.943,0.210,0.310,-0.096,0.010,0.008,1.098,1.175,3,0,0,0,7,255,0,250,0,0
baseline,161919,161919,0,341453.412,-0.993,-0.114,0.030,0.003,2954,245,647,2813,405,1667,567,1127,49,1.108,129,0,46.042,0.306,42.240,-12.580,-13.320,-0.251,-0.235,0.931,0.210,0.222,-0.140,0.010,0.008,1.098,1.175,3,0,0,0,7,255,0,250,0,0
baseline,161919,161919,0,341458.412,-0.993,-0.112,0.030,0.002,2951,185,663,2823,415,1648,584,1074,49,1.108,129,0,48.114,0.250,45.660,-3.660,-14.720,-0.284,-0.215,0.985,0.114,0.222,-0.140,0.010,0.006,1.098,1.175,3,0,0,0,7,255,0,250,0,0
baseline,161935,161935,0,341463.412,-0.993,-0.110,0.029,0.001,2919,317,679,2834,436,1593,602,1013,49,1.108,129,0,49.960,0.276,47.180,-10.920,-12.280,-0.291,-0.186,0.952,-0.058,0.270,-0.002,0.010,0.006,1.098,1.175,3,0,0,0,7,255,0,250,0,0
baseline,161935,161935,0,341468.412,-0.994,-0.108,0.029,0.000,2902,218,775,2806,443,1623,598,1123,49,1.108,129,0,47.728,0.352,44.980,-12.260,-10.220,-0.292,-0.218,0.922,-0.226,0.270,-0.002,0.010,0.004,1.098,1.175,3,0,0,0,7,255,0,250,0,0
baseline,161935,161935,0,341473.412,-0.994,-0.107,0.028,-0.000,2876,335,889,2786,439,1593,590,1152,49,1.108,129,0,44.178,0.336,41.920,-11.100,-8.440,-0.293,-0.233,0.920,-0.334,0.036,-0.188,0.010,0.002,1.098,1.175,3,0,0,0,7,255,0,250,0,0
baseline,161935,161935,0,341478.412,-0.994,-0.105,0.028,-0.001,2859,124,927,2789,506,1625,615,1187,49,1.108,129,0,40.215,0.361,38.080,-11.720,-5.460,-0.295,-0.214,0.906,-0.360,-0.022,-0.204,0.010,0.002,1.098,1.175,3,0,0,0,7,255,0,250,0,0
baseline,161984,161984,0,341483.412,-0.994,-0.104,0.027,-0.001,2836,151,883,2744,496,1595,632,1225,49,1.108,129,0,28.181,0.427,25.580,-11.480,2.840,-0.346,-0.093,0.829,-0.426,-0.022,-0.350,0.008,0.004,1.098,1.175,3,0,0,0,7,255,0,250,0,0
