condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,208431,208431,0,274607.087,0.106,-0.418,-0.028,0.902,3351,0,611,3095,295,725,0,1436,49,1.031,110,0,240.058,6.323,126.760,14.580,203.340,-0.298,0.064,1.701,-5.738,2.656,5.352,0.078,0.118,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208431,208431,0,274612.087,0.106,-0.421,-0.017,0.901,3341,0,688,3080,267,803,0,981,49,1.031,110,0,247.761,9.431,224.860,29.720,99.700,-0.019,-0.504,1.026,-8.580,3.914,3.366,0.052,0.088,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208447,208447,0,274617.087,0.100,-0.422,-0.009,0.901,3327,0,749,3047,247,847,0,973,49,1.031,110,0,231.299,9.431,227.180,11.960,-41.780,0.064,-0.464,0.429,-8.580,3.914,-3.352,0.028,0.064,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208447,208447,0,274622.087,0.094,-0.422,-0.003,0.902,3299,4,827,3035,240,890,0,1000,49,1.031,110,0,197.055,5.991,178.520,-18.920,-81.260,-0.311,0.030,0.372,-4.536,3.914,-5.010,0.010,0.046,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208479,208479,0,274627.087,0.087,-0.423,-0.000,0.902,3307,9,902,3035,237,907,6,1007,49,1.031,110,0,172.825,0.917,133.780,21.000,-107.380,-0.650,0.093,0.518,-0.902,0.166,-5.010,0.008,0.036,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208479,208479,0,274632.087,0.081,-0.427,0.003,0.901,3258,42,983,3017,252,932,24,1055,49,1.031,110,0,171.276,0.233,126.340,81.060,-82.480,-0.927,-0.091,0.529,0.164,0.166,-1.508,0.016,0.026,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208479,208479,0,274637.087,0.078,-0.432,0.007,0.899,3237,71,1063,3027,267,937,26,1059,49,1.031,110,0,167.040,0.270,123.480,108.820,-28.520,-1.048,0.280,0.831,0.270,-0.016,0.514,0.024,0.018,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208479,208479,0,274642.087,0.076,-0.436,0.012,0.897,3232,114,1121,3037,295,936,103,1059,49,1.031,110,0,164.424,1.711,135.000,92.160,17.800,-1.036,0.469,0.741,0.978,-1.404,3.128,0.032,0.010,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208479,208479,0,274647.089,0.075,-0.438,0.017,0.895,3211,205,1179,3000,339,946,119,1061,49,1.031,110,0,134.896,1.711,118.840,56.880,28.960,-0.896,0.284,0.408,0.978,-1.404,3.128,0.040,0.002,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208479,208479,0,274652.087,0.075,-0.439,0.020,0.895,3175,274,1243,2991,416,931,259,1103,49,1.031,110,0,77.690,2.852,68.360,14.280,34.040,-0.859,0.309,0.300,2.402,-1.538,-0.096,0.042,0.000,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208511,208511,0,274657.087,0.076,-0.439,0.022,0.895,3160,337,1299,2997,503,963,403,1063,49,1.031,110,0,43.775,2.852,22.340,-19.100,32.440,-0.809,0.498,0.388,2.402,-1.538,-0.640,0.000,0.000,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208511,208511,0,274662.087,0.077,-0.437,0.023,0.896,3131,365,1352,2983,627,971,527,1081,49,1.031,110,0,47.843,4.111,-11.600,-33.020,32.620,-0.695,0.547,0.436,2.266,-3.430,-0.990,0.000,0.000,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208511,208511,0,274667.087,0.079,-0.436,0.022,0.896,3109,408,1402,2961,713,971,637,1141,49,1.031,110,0,52.772,3.672,-36.260,-26.000,28.180,-0.615,0.377,0.426,1.312,-3.430,-1.166,0.000,0.000,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208511,208511,0,274672.087,0.081,-0.435,0.020,0.896,3101,457,1451,2937,767,974,762,1146,49,1.031,110,0,57.010,2.651,-53.280,-15.940,12.540,-0.582,0.234,0.541,0.744,-2.544,-1.730,0.000,0.000,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208511,208511,0,274677.087,0.081,-0.434,0.018,0.897,3047,495,1495,2915,823,977,825,1075,49,1.031,110,0,56.466,1.352,-52.680,-16.000,-12.540,-0.623,0.142,0.671,-0.486,-1.262,-1.730,0.000,0.000,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208511,208511,0,274682.087,0.081,-0.433,0.016,0.897,3005,523,1542,2901,863,974,861,1101,49,1.031,110,0,58.820,1.282,-41.680,-22.400,-34.940,-0.688,0.128,0.708,-1.222,-0.388,-0.724,0.000,0.000,1.226,1.247,2,0,0,0,7,255,0,250,0,0
baseline,208511,208511,0,274687.087,0.079,-0.432,0.014,0.898,2971,561,1589,2863,907,963,908,1116,49,1.182,110,0,58.267,1.240,-31.380,-23.140,-43.300,-0.772,0.132,0.660,-1.222,-0.208,-0.008,0.000,0.000,1.354,1.430,3,0,0,0,7,255,0,250,0,0
baseline,208511,208511,0,274692.087,0.079,-0.432,0.012,0.898,2905,568,1623,2814,951,940,944,1113,49,1.182,110,0,47.798,0.380,-26.680,-16.420,-36.100,-0.830,0.147,0.640,-0.318,-0.208,0.330,0.000,0.000,1.354,1.430,3,0,0,0,7,255,0,250,0,0
baseline,208527,208527,0,274697.087,0.078,-0.431,0.011,0.899,2864,574,1661,2791,984,927,973,1129,49,1.182,110,0,35.716,0.311,-24.480,-12.400,-22.860,-0.832,0.159,0.646,0.210,-0.230,0.658,0.002,0.000,1.354,1.430,3,0,0,0,7,255,0,250,0,0
baseline,208527,208527,0,274702.087,0.078,-0.431,0.009,0.899,2797,569,1690,2747,1006,903,999,1159,49,1.182,110,0,30.768,0.311,-24.600,-13.500,-12.620,-0.804,0.138,0.633,0.210,-0.230,0.658,0.004,0.000,1.354,1.430,3,0,0,0,7,255,0,250,0,0
baseline,208543,208543,0,274707.087,0.078,-0.430,0.008,0.899,2707,565,1719,2707,1047,872,1010,1173,49,1.182,110,0,34.695,0.252,-28.440,-17.520,-9.380,-0.749,0.119,0.614,0.130,-0.216,0.412,0.006,0.002,1.354,1.430,3,0,0,0,7,255,0,250,0,0
baseline,208543,208543,0,274712.087,0.078,-0.429,0.007,0.900,2643,563,1743,2665,1063,826,1016,1271,49,1.182,110,0,42.646,0.138,-35.400,-20.080,-12.740,-0.717,0.106,0.594,-0.056,-0.126,-0.140,0.006,0.000,1.354,1.430,3,0,0,0,7,255,0,250,0,0
baseline,208543,208543,0,274717.087,0.078,-0.428,0.005,0.900,2591,539,1767,2638,1093,807,1053,1439,49,1.182,110,0,50.238,0.116,-42.300,-19.600,-18.720,-0.712,0.099,0.602,-0.100,-0.058,-0.508,0.006,0.000,1.354,1.430,3,0,0,0,7,255,0,250,0,0
baseline,208543,208543,0,274722.087,0.078,-0.427,0.003,0.901,2504,538,1789,2584,1114,745,1049,1399,49,1.182,110,0,53.983,0.183,-44.680,-18.620,-23.900,-0.718,0.109,0.642,-0.174,-0.058,-0.508,0.006,0.002,1.354,1.430,3,0,0,0,7,255,0,250,0,0
