condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,2767,2767,0,161312.411,-0.981,0.031,0.019,-0.189,0,27,2007,153,1289,1061,1371,1790,35,0.258,46,0,52.642,2.499,-23.460,-46.840,5.180,-0.186,-0.157,0.953,-2.006,-1.490,0.184,0.626,0.092,4.095,0.556,3,0,0,0,7,255,0,250,0,0
baseline,2767,2767,0,161317.411,-0.981,0.031,0.017,-0.188,0,25,1989,142,1248,1048,1389,1817,35,0.258,46,0,51.405,2.131,-6.680,-49.880,10.480,-0.153,-0.115,0.943,-1.524,-1.490,-0.436,0.636,0.092,4.095,0.556,3,0,0,0,7,255,0,250,0,0
baseline,2783,2783,0,161322.411,-0.982,0.030,0.015,-0.188,0,11,1975,104,1305,1005,1398,1815,35,0.258,46,0,56.864,1.672,7.840,-52.940,19.220,-0.159,-0.059,0.987,-1.102,-1.258,-0.436,0.648,0.094,4.095,0.556,3,0,0,0,7,255,0,250,0,0
baseline,2783,2783,0,161327.411,-0.982,0.031,0.012,-0.186,0,0,1972,59,1333,967,1408,1815,35,0.258,46,0,63.952,1.330,16.700,-56.000,25.980,-0.195,-0.040,1.051,-1.102,-0.744,-0.082,0.660,0.094,4.095,0.556,3,0,0,0,7,255,0,250,0,0
baseline,2783,2783,0,161332.411,-0.982,0.031,0.010,-0.185,0,0,1958,28,1365,921,1417,1820,35,0.258,46,0,69.750,1.378,22.380,-59.160,29.400,-0.256,-0.031,1.130,-1.296,-0.468,0.556,0.670,0.096,4.095,0.556,3,0,0,0,7,255,0,250,0,0
baseline,2783,2783,0,161337.411,-0.982,0.032,0.007,-0.184,0,1,1949,20,1379,855,1429,1800,35,0.258,46,0,73.513,1.891,24.820,-62.640,29.400,-0.312,-0.021,1.210,-1.878,-0.218,1.338,0.682,0.096,4.095,0.556,3,0,0,0,7,255,0,250,0,0
baseline,2783,2783,0,161342.411,-0.983,0.032,0.004,-0.183,0,0,1907,7,1391,777,1408,1791,35,0.258,46,0,75.720,2.418,23.660,-67.280,25.440,-0.354,-0.005,1.276,-2.418,0.022,2.122,0.692,0.098,4.095,0.556,3,0,0,0,7,255,0,250,0,0
baseline,2799,2799,0,161347.411,-0.983,0.032,0.000,-0.182,0,0,1876,1,1405,729,1419,1769,35,0.258,46,0,77.797,2.753,19.140,-72.480,20.800,-0.350,0.034,1.309,-2.738,0.286,2.762,0.702,0.098,4.095,0.556,3,0,0,0,7,255,0,250,0,0
baseline,2831,2831,0,161352.411,-0.983,0.032,-0.003,-0.181,0,0,1882,0,1428,636,1432,1767,35,0.258,46,0,83.531,2.806,20.300,-78.580,19.760,-0.347,0.098,1.333,-2.738,0.616,3.086,0.712,0.098,4.095,0.556,3,0,0,0,7,255,0,250,0,0
baseline,2831,2831,0,161357.411,-0.983,0.032,-0.007,-0.181,0,0,1835,0,1440,587,1433,1751,35,0.258,46,0,89.806,2.843,16.400,-86.640,17.020,-0.320,0.190,1.370,-2.586,1.182,3.330,0.724,0.100,4.095,0.556,3,0,0,0,7,255,0,250,0,0
