condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,5982,5982,0,60985.830,0.992,-0.118,-0.025,0.023,400,0,0,25,0,0,0,0,0,0.000,0,0,0.020,0.007,0.000,0.000,0.020,0.010,0.035,1.003,-0.004,0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5982,5982,0,60990.830,0.992,-0.118,-0.025,0.023,395,0,0,18,0,0,0,0,0,0.000,0,0,0.126,0.007,-0.120,0.000,-0.040,0.012,0.034,1.002,-0.004,0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5982,5982,0,60995.830,0.992,-0.118,-0.025,0.023,377,0,0,25,0,0,0,0,0,0.000,0,0,0.020,0.007,0.000,0.000,0.020,0.012,0.033,1.003,0.004,-0.006,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5982,5982,0,61000.830,0.992,-0.118,-0.025,0.023,365,0,0,21,0,0,0,0,0,0.000,0,0,0.063,0.008,0.000,0.060,0.020,0.012,0.035,1.003,0.006,-0.006,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5982,5982,0,61005.830,0.992,-0.118,-0.025,0.023,359,0,0,26,0,0,0,0,0,0.000,0,0,0.072,0.007,0.000,0.060,-0.040,0.011,0.034,1.003,0.006,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5982,5982,0,61010.830,0.992,-0.118,-0.025,0.023,347,0,0,23,0,0,0,0,0,0.000,0,0,0.094,0.000,-0.060,-0.060,-0.040,0.011,0.035,1.002,0.000,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5998,5998,0,61015.831,0.992,-0.118,-0.025,0.023,335,0,0,19,0,0,0,0,0,0.000,0,0,0.020,0.006,0.000,0.000,0.020,0.011,0.034,1.003,-0.004,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5998,5998,0,61020.830,0.992,-0.118,-0.025,0.023,313,0,0,19,0,0,0,0,0,0.000,0,0,0.020,0.010,0.000,0.000,0.020,0.011,0.034,1.002,0.000,-0.010,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5998,5998,0,61075.830,0.992,-0.118,-0.025,0.023,317,0,0,21,0,0,0,0,0,0.000,0,0,0.063,0.004,-0.060,0.000,0.020,0.012,0.035,1.004,0.004,0.000,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5998,5998,0,61080.830,0.992,-0.118,-0.025,0.023,313,0,0,22,0,0,0,0,0,0.000,0,0,0.063,0.004,0.000,-0.060,0.020,0.012,0.034,1.003,0.004,0.000,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5998,5998,0,61085.830,0.992,-0.118,-0.025,0.023,313,0,0,28,0,0,0,0,0,0.000,0,0,0.094,0.006,-0.060,0.060,-0.040,0.011,0.036,1.004,0.004,0.004,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
