condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
prep,0,0,0,5542517.172,-0.649,0.057,-0.090,0.753,3391,0,599,2949,416,551,831,861,44,0.000,3603,1,1.153,0.007,-0.460,1.020,-0.280,0.152,0.370,0.917,-0.006,0.004,0.040,0.000,0.000,0.039,0.013,2,2,0,3,7,255,1366,250,0,0
prep,0,0,0,5542522.172,-0.649,0.057,-0.090,0.753,3375,0,595,2927,421,557,832,858,44,0.000,3603,1,1.346,0.032,-0.940,0.960,0.080,0.157,0.372,0.915,0.032,0.004,-0.024,0.000,0.000,0.039,0.013,2,2,0,3,7,255,1366,250,0,0
prep,0,0,0,5542527.172,-0.649,0.057,-0.090,0.753,3379,0,601,2948,428,556,836,857,44,0.000,3603,1,1.492,0.048,-0.940,1.080,-0.420,0.159,0.378,0.918,0.032,0.036,-0.024,0.000,0.000,0.039,0.013,2,2,0,3,7,255,1366,250,0,0
prep,38,38,0,5542532.172,-0.649,0.057,-0.090,0.753,3379,0,603,2932,423,555,832,858,44,0.000,3603,1,1.240,0.039,0.080,1.140,-0.480,0.155,0.381,0.911,-0.016,0.036,-0.026,0.000,0.000,0.039,0.013,2,2,0,3,7,255,1366,250,0,0
prep,38,38,0,5542537.172,-0.649,0.057,-0.090,0.753,3381,0,599,2935,421,553,835,857,44,0.000,3603,1,0.675,0.031,-0.340,0.540,-0.220,0.157,0.376,0.912,-0.016,0.026,-0.032,0.000,0.000,0.039,0.013,2,2,0,3,7,255,1366,250,0,0
prep,43,43,0,5542542.172,-0.649,0.056,-0.090,0.753,3372,0,599,2926,412,548,828,861,44,0.000,3603,1,2.392,0.031,-2.180,0.780,-0.600,0.157,0.358,0.929,-0.016,0.026,-0.032,0.000,0.000,0.039,0.013,2,2,0,3,7,255,1366,250,0,0
prep,43,43,0,5542547.172,-0.649,0.057,-0.090,0.753,3379,0,599,2936,421,543,840,859,44,0.000,3603,1,1.641,0.031,0.020,1.640,-0.040,0.151,0.382,0.911,-0.016,0.026,-0.030,0.000,0.000,0.039,0.013,2,2,0,3,7,255,1366,250,0,0
prep,59,59,0,5542552.172,-0.649,0.057,-0.089,0.753,3375,0,601,2933,424,544,837,853,44,0.000,3603,1,1.124,0.074,0.820,0.600,-0.480,0.160,0.398,0.910,-0.072,0.016,0.028,0.000,0.000,0.039,0.013,2,2,0,3,7,255,1366,250,0,0
prep,59,59,0,5542557.172,-0.649,0.056,-0.090,0.753,3360,0,588,2935,415,543,831,857,44,0.000,3603,1,2.976,0.074,-2.780,0.720,-0.780,0.151,0.329,0.938,-0.072,0.016,0.010,0.000,0.000,0.039,0.013,2,2,0,3,7,255,1366,250,0,0
prep,59,59,0,5542562.174,-0.649,0.056,-0.090,0.753,3371,0,597,2934,417,549,839,856,44,0.000,3603,1,2.326,0.227,0.580,1.880,1.240,0.160,0.397,0.902,-0.226,0.020,0.010,0.000,0.000,0.039,0.013,2,2,0,3,7,255,1366,250,0,0
