condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
prep,19,19,0,3641198.442,0.522,0.024,-0.015,-0.852,1280,444,1195,3294,1785,0,549,1271,48,0.324,2349,1,28.786,0.519,-16.060,7.320,-22.740,-0.321,-0.313,0.886,-0.338,-0.394,-0.018,0.406,0.532,0.429,0.579,2,2,0,1,7,255,1125,200,0,0
prep,19,19,0,3641203.441,0.523,0.024,-0.014,-0.852,1113,433,1211,3247,1803,0,558,1300,48,0.324,2349,1,30.639,0.145,-15.680,8.420,-24.940,-0.300,-0.294,0.871,-0.094,-0.110,-0.222,0.410,0.534,0.429,0.579,2,2,0,1,7,255,1125,200,0,0
prep,19,19,0,3641208.441,0.524,0.025,-0.013,-0.851,995,430,1198,3245,1800,0,555,1275,48,0.324,2349,1,29.686,0.141,-14.700,6.340,-25.000,-0.330,-0.336,0.851,0.088,-0.110,-0.422,0.410,0.536,0.429,0.579,2,2,0,1,7,255,1125,200,0,0
prep,19,19,0,3641213.442,0.525,0.025,-0.012,-0.851,845,473,1197,3159,1799,0,551,1275,48,0.324,2349,1,33.509,0.295,-13.540,1.400,-30.620,-0.330,-0.343,0.889,0.288,-0.066,-0.422,0.408,0.534,0.429,0.579,2,2,0,1,7,255,1125,200,0,0
prep,31,31,0,3641218.441,0.525,0.026,-0.010,-0.850,712,489,1205,3143,1827,0,569,1267,48,0.324,2349,1,41.302,0.417,-20.880,3.100,-35.500,-0.271,-0.390,0.858,0.412,-0.066,-0.378,0.402,0.530,0.429,0.579,2,2,0,1,7,255,1125,200,0,0
prep,31,31,0,3641223.441,0.526,0.026,-0.009,-0.850,592,478,1213,3115,1823,0,544,1275,48,0.324,2349,1,33.768,0.795,-19.780,2.440,-27.260,-0.215,-0.433,0.766,0.542,0.582,-0.378,0.394,0.522,0.429,0.579,2,2,0,1,7,255,1125,200,0,0
prep,47,47,0,3641228.443,0.526,0.027,-0.007,-0.850,525,413,1181,3033,1821,0,549,1299,48,0.324,2349,1,20.453,1.300,-11.960,-1.540,-16.520,-0.264,-0.461,0.768,1.036,0.786,-0.930,0.382,0.510,0.429,0.579,2,2,0,1,7,255,1125,200,0,0
prep,47,47,0,3641233.441,0.527,0.027,-0.006,-0.850,407,403,1175,2957,1835,0,595,1299,48,1.025,2349,0,20.562,1.328,-13.060,-3.800,-15.420,-0.351,-0.407,0.816,1.070,0.786,-0.930,0.000,0.000,0.846,0.928,3,2,0,1,7,255,1125,200,0,0
prep,47,47,0,3641238.441,0.527,0.028,-0.005,-0.849,344,425,1129,2921,1863,0,609,1256,48,1.025,2349,0,34.273,1.081,-16.780,-5.020,-29.460,-0.397,-0.379,0.866,1.070,-0.156,-0.406,0.002,0.004,0.846,0.928,3,2,0,1,7,255,1125,200,0,0
prep,47,47,0,3641243.442,0.528,0.027,-0.004,-0.849,261,410,1113,2877,1843,0,611,1237,48,1.025,2349,0,29.296,0.799,-7.880,-9.960,-26.400,-0.277,-0.333,0.878,0.784,-0.156,-0.326,0.006,0.008,0.846,0.928,3,2,0,1,7,255,1125,200,0,0
prep,81,81,0,3641248.441,0.529,0.027,-0.003,-0.848,237,419,1085,2828,1839,0,615,1239,48,1.025,2349,0,26.325,0.370,-10.920,-5.800,-23.240,-0.240,-0.395,0.865,0.326,0.176,-0.326,0.012,0.014,0.846,0.928,3,2,0,1,7,255,1125,200,0,0
prep,81,81,0,3641253.441,0.529,0.027,-0.002,-0.848,191,407,1068,2737,1831,0,627,1257,48,1.025,2349,0,16.191,0.807,-6.780,-7.340,-12.740,-0.240,-0.407,0.850,0.326,0.738,-0.360,0.016,0.020,0.846,0.928,3,2,0,1,7,255,1125,200,0,0
prep,81,81,0,3641258.442,0.529,0.027,-0.001,-0.848,91,477,1044,2645,1772,0,633,1228,48,1.025,2349,0,11.752,0.807,-0.120,-11.600,-1.880,-0.306,-0.363,0.947,0.326,0.738,-0.360,0.022,0.028,0.846,0.928,3,2,0,1,7,255,1125,200,0,0
prep,81,81,0,3641263.441,0.529,0.026,-0.001,-0.848,41,527,1003,2581,1816,0,627,1240,48,1.025,2349,0,17.445,0.121,-11.720,-10.020,-8.160,-0.357,-0.274,0.979,-0.050,0.110,0.454,0.028,0.034,0.846,0.928,3,2,0,1,7,255,1125,200,0,0
