condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,52815,52815,0,64362.405,0.376,-0.208,0.035,0.902,3339,0,0,3248,3347,370,0,131,29,0.000,2,0,143.970,19.265,-94.920,-83.040,-69.440,1.251,-1.464,1.249,-19.264,0.184,-5.258,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,52815,52815,0,64367.405,0.381,-0.200,0.033,0.902,3367,0,0,3258,3430,395,0,128,29,0.000,2,0,222.213,19.272,-141.900,-137.300,101.940,0.667,-1.273,1.020,-19.264,0.556,-5.324,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,52815,52815,0,64372.405,0.390,-0.192,0.032,0.900,3372,0,0,3269,3463,435,0,133,29,0.000,2,0,290.190,16.558,-143.320,-152.620,200.940,-0.164,-0.379,0.933,-16.312,2.842,-5.324,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,52831,52831,0,64377.406,0.398,-0.185,0.031,0.898,3359,0,0,3256,3515,473,0,144,29,0.000,2,0,238.338,5.590,-98.260,-129.120,174.580,-0.637,0.497,0.938,-4.814,2.842,-1.582,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,52831,52831,0,64382.405,0.401,-0.179,0.032,0.898,3377,0,0,3288,3509,522,0,149,29,0.000,2,0,153.691,4.180,-57.120,-114.660,84.920,-0.750,0.725,0.953,4.166,0.346,1.558,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,52831,52831,0,64387.405,0.401,-0.175,0.033,0.899,3357,0,0,3213,3525,555,0,201,29,0.000,2,0,110.663,4.180,-20.640,-108.000,-12.500,-0.516,0.342,0.902,4.166,0.346,1.558,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52863,52863,0,64392.405,0.399,-0.171,0.034,0.900,3401,0,0,3287,3525,585,0,221,29,0.000,2,0,115.661,2.738,5.000,-102.640,-53.080,-0.052,-0.151,0.953,2.660,0.648,0.528,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52863,52863,0,64397.405,0.398,-0.168,0.036,0.901,3389,0,0,3285,3518,625,0,233,29,0.000,2,0,78.744,3.772,4.220,-76.200,-19.400,0.249,-0.218,1.229,-3.716,0.648,0.478,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52863,52863,0,64402.406,0.399,-0.166,0.036,0.901,3391,0,0,3277,3513,661,0,240,29,0.000,2,0,65.093,6.509,-14.960,-47.160,42.300,0.296,-0.137,1.180,-6.398,-1.198,0.080,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52863,52863,0,64407.405,0.402,-0.163,0.037,0.900,3387,0,0,3291,3613,676,0,252,29,0.000,2,0,97.230,6.713,-26.980,-56.060,74.720,0.247,0.148,1.174,-6.398,-2.032,0.478,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52864,52864,0,64412.405,0.405,-0.160,0.037,0.900,3409,0,2,3281,3681,745,0,276,29,0.000,2,0,80.719,5.362,-16.600,-57.220,54.460,0.146,0.531,1.597,-4.018,-3.550,0.712,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52864,52864,0,64417.405,0.406,-0.159,0.036,0.899,3387,0,9,3281,3707,759,0,315,29,0.000,2,0,58.205,5.893,-46.200,-21.640,28.020,0.127,0.562,1.651,-1.918,-5.572,5.634,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52881,52881,0,64422.405,0.408,-0.158,0.033,0.899,3404,0,5,3298,3736,791,0,341,29,0.000,2,0,85.257,5.918,-70.740,16.380,44.680,0.128,0.725,1.385,-1.670,-5.678,5.634,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52881,52881,0,64427.405,0.411,-0.157,0.030,0.897,3411,0,16,3289,3741,846,0,375,29,0.000,2,0,110.514,5.689,-87.220,24.320,63.360,-0.197,0.710,0.985,0.356,-5.678,4.034,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52881,52881,0,64432.405,0.413,-0.155,0.027,0.897,3418,0,41,3289,3755,873,0,411,29,0.000,2,0,90.624,5.232,-86.120,-7.120,27.300,-0.559,0.385,0.766,3.476,-3.910,1.044,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52881,52881,0,64437.405,0.412,-0.154,0.024,0.898,3408,0,61,3305,3756,878,0,456,29,0.000,2,0,76.869,4.015,-63.360,-16.340,-40.340,-0.577,0.567,0.987,4.006,-0.274,1.044,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52901,52901,0,64442.405,0.408,-0.153,0.022,0.900,3416,0,77,3300,3767,907,0,488,29,0.000,2,0,111.007,4.015,-43.460,-8.400,-101.800,-0.305,0.652,1.069,4.006,-0.274,1.696,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52901,52901,0,64447.405,0.404,-0.151,0.020,0.902,3387,0,118,3248,3786,925,0,509,29,0.000,2,0,122.997,4.683,-46.760,-9.060,-113.400,0.000,0.354,1.120,3.630,-2.958,1.696,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52901,52901,0,64452.405,0.401,-0.151,0.017,0.903,3407,0,184,3324,3801,947,0,567,29,0.000,2,0,95.247,2.998,-62.740,7.400,-71.280,0.103,-0.006,1.099,-0.486,-2.958,1.172,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52901,52901,0,64457.405,0.401,-0.150,0.014,0.904,3417,0,211,3315,3799,966,0,599,29,0.000,2,0,76.232,3.979,-66.840,17.480,-32.220,-0.019,-0.175,0.985,-3.592,-1.712,0.202,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52915,52915,0,64462.405,0.400,-0.149,0.010,0.904,3415,0,239,3321,3824,988,0,627,29,0.000,2,0,77.076,3.608,-75.320,2.900,-16.100,-0.254,-0.027,0.963,-3.592,0.338,-0.200,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,52915,52915,0,64467.405,0.399,-0.148,0.007,0.905,3407,0,285,3320,3819,1002,0,649,29,0.000,2,0,79.131,1.185,-70.620,-0.100,-35.700,-0.348,0.146,0.951,-1.078,0.492,-0.200,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
