condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,7,7,0,7,2668462.393,0.941,-0.065,-0.048,-0.330,0,2207,3051,2669,2795,2860,2151,2867,22,0.843,1,1591,1,7.670,0.148,5.875,-4.250,2.500,-0.027,0.180,0.992,0.086,0.121,0.070,0.070,0.074,1.085,1.084,2,NULL,NULL,1168.000,2,0,2,7,255,1168,300,0,0
pre_stim,7,7,0,7,2668467.394,0.940,-0.065,-0.048,-0.330,0,2219,3055,2659,2813,2851,2187,2871,22,0.843,1,1591,1,7.270,0.148,5.875,-3.563,2.375,-0.031,0.199,0.992,0.086,0.121,0.074,0.070,0.074,1.085,1.084,2,NULL,NULL,,2,0,2,7,255,1168,300,0,0
pre_stim,14,14,0,14,2668472.393,0.940,-0.065,-0.048,-0.330,0,2228,3091,2638,2821,2851,2208,2877,22,0.843,1,1591,1,7.061,0.194,5.563,-4.313,0.563,-0.027,0.180,0.977,0.129,0.145,0.070,0.070,0.074,1.085,1.084,2,NULL,NULL,,2,0,2,7,255,1168,300,0,0
pre_stim,14,14,0,14,2668477.393,0.940,-0.066,-0.048,-0.330,0,2229,3090,2615,2826,2838,2259,2880,22,0.843,1,1591,1,6.643,0.194,4.500,-4.563,1.750,-0.039,0.156,1.016,0.129,0.145,0.074,0.072,0.076,1.085,1.084,2,NULL,NULL,,2,0,2,7,255,1168,300,0,0
pre_stim,29,29,0,29,2668482.393,0.940,-0.066,-0.047,-0.330,0,2255,3129,2596,2841,2863,2280,2897,22,0.843,1,1591,1,8.779,0.194,7.813,-3.688,1.563,-0.027,0.207,0.988,0.129,0.145,0.059,0.072,0.076,1.085,1.084,2,NULL,NULL,,2,0,2,7,255,1168,300,0,0
pre_stim,29,29,0,29,2668487.394,0.940,-0.066,-0.047,-0.330,0,2271,3169,2579,2852,2859,2317,2913,22,0.843,1,1591,1,7.922,0.273,6.375,-4.688,0.375,-0.027,0.145,0.992,0.227,-0.152,0.059,0.074,0.078,1.085,1.084,2,NULL,NULL,,2,0,2,7,255,1168,300,0,0
pre_stim,59,59,0,59,2668492.393,0.940,-0.067,-0.047,-0.330,0,2281,3177,2541,2872,2860,2345,2905,22,0.843,1,1591,1,7.807,0.187,6.625,-3.938,1.250,-0.039,0.203,0.996,-0.051,0.180,0.059,0.074,0.078,1.085,1.084,2,NULL,NULL,,2,0,2,7,255,1168,300,0,0
pre_stim,59,59,0,59,2668497.393,0.940,-0.067,-0.047,-0.330,0,2294,3198,2520,2891,2857,2379,2919,22,0.843,1,1591,1,8.171,0.172,6.813,-4.500,0.313,-0.027,0.172,0.984,0.168,0.039,0.016,0.074,0.078,1.085,1.084,2,NULL,NULL,,2,0,2,7,255,1168,300,0,0
pre_stim,59,59,0,59,2668502.393,0.940,-0.067,-0.047,-0.330,0,2296,3230,2491,2905,2867,2403,2921,22,0.843,1,1591,1,7.123,0.112,5.750,-4.125,0.813,-0.035,0.180,1.004,0.105,0.039,0.152,0.074,0.080,1.085,1.084,2,NULL,NULL,,2,0,2,7,255,1168,300,0,0
pre_stim,59,59,0,59,2668507.394,0.940,-0.068,-0.047,-0.330,0,2317,3231,2475,2931,2857,2441,2942,22,0.843,1,1591,1,8.144,0.112,6.938,-4.250,-0.375,-0.035,0.199,0.984,0.105,0.039,0.023,0.076,0.080,1.085,1.084,2,NULL,NULL,,2,0,2,7,255,1168,300,0,0
