condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,67,67,0,67,420150.263,-0.976,-0.130,0.071,-0.158,0,119,2939,67,3003,2035,2207,2927,32,0.000,74,1,18.528,0.414,4.875,-17.813,1.500,-0.098,-0.180,1.012,0.059,0.250,0.324,0.308,0.000,0.576,0.839,2,NULL,NULL,1126.000,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,420155.263,-0.976,-0.130,0.070,-0.158,0,97,2932,52,2987,2011,2226,2933,32,0.000,74,1,18.616,0.383,5.125,-17.875,-0.875,-0.102,-0.195,0.992,0.023,0.250,0.289,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,420160.263,-0.976,-0.130,0.069,-0.158,0,91,2941,35,3005,1976,2234,2935,32,0.000,74,1,22.123,0.314,9.563,-19.938,-0.688,-0.098,-0.180,0.980,-0.063,0.281,0.125,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,420165.263,-0.977,-0.130,0.068,-0.158,0,85,2941,3,2997,1955,2247,2937,32,0.000,74,1,25.274,0.226,12.063,-22.188,1.000,-0.078,-0.199,0.992,-0.063,0.188,0.109,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,420170.262,-0.977,-0.129,0.067,-0.158,0,77,2951,3,2999,1935,2254,2936,32,0.000,74,1,26.463,0.155,13.313,-22.813,1.625,-0.113,-0.246,0.996,-0.063,0.090,0.109,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,420175.263,-0.977,-0.129,0.066,-0.158,0,56,2935,0,3004,1898,2261,2949,32,0.000,74,1,28.530,0.544,15.438,-23.875,2.375,-0.148,-0.258,1.023,-0.426,-0.184,0.285,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,420180.263,-0.977,-0.128,0.065,-0.158,0,51,2939,0,3007,1883,2279,2936,32,0.000,74,1,30.866,0.768,17.750,-25.250,0.250,-0.133,-0.211,1.070,-0.441,-0.184,0.602,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,420185.263,-0.977,-0.128,0.064,-0.158,0,35,2939,0,3019,1855,2283,2937,32,0.000,74,1,29.601,1.073,10.313,-27.688,1.813,-0.090,-0.188,1.121,-0.441,0.234,0.949,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,420190.263,-0.977,-0.128,0.062,-0.157,0,31,2951,0,3025,1837,2297,2933,32,0.000,74,1,29.908,1.481,7.750,-28.625,3.875,-0.145,-0.191,1.156,-0.441,0.387,1.359,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,420195.263,-0.977,-0.128,0.061,-0.157,0,27,2955,0,3028,1811,2311,2957,32,0.000,74,1,30.269,1.678,-3.000,-29.938,3.313,-0.098,-0.117,1.156,0.039,0.590,1.570,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,420200.263,-0.977,-0.129,0.060,-0.157,0,13,2943,0,3028,1783,2315,2939,32,0.000,74,1,34.960,1.729,-16.750,-29.625,8.000,-0.078,-0.152,1.109,0.172,0.703,1.570,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,420205.263,-0.977,-0.130,0.059,-0.156,0,1,2957,0,3027,1747,2331,2944,32,0.000,74,1,36.005,1.354,-19.563,-29.688,5.688,-0.141,-0.238,1.000,0.172,0.703,1.145,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,88,88,0,88,420210.263,-0.977,-0.131,0.058,-0.156,0,4,2956,0,3034,1719,2347,2941,32,0.000,74,1,34.629,0.350,-11.625,-32.063,6.000,-0.059,-0.195,0.988,0.059,0.094,0.332,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,88,88,0,88,420215.263,-0.977,-0.131,0.056,-0.155,0,3,2950,0,3033,1683,2357,2941,32,0.000,74,1,36.450,0.614,-8.688,-33.688,10.875,-0.105,-0.258,0.969,-0.609,-0.059,0.047,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,88,88,0,88,420220.263,-0.978,-0.132,0.055,-0.155,0,6,2957,0,3051,1629,2357,2951,32,0.000,74,1,35.736,0.211,-2.875,-35.250,5.125,-0.074,-0.211,0.977,-0.207,0.016,0.035,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,88,88,0,88,420225.263,-0.978,-0.132,0.053,-0.154,0,1,2955,0,3039,1587,2375,2951,32,0.000,74,1,39.981,0.282,2.125,-37.000,15.000,-0.055,-0.234,1.020,-0.207,-0.188,0.035,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,88,88,0,88,420230.263,-0.978,-0.132,0.052,-0.154,0,5,2963,0,3049,1551,2393,2955,32,0.000,74,1,38.728,0.459,-0.813,-36.313,13.438,-0.066,-0.223,1.023,-0.164,-0.047,0.426,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,88,88,0,88,420235.263,-0.978,-0.132,0.050,-0.153,0,0,2956,0,3054,1491,2395,2965,32,0.000,74,1,47.143,0.477,2.313,-40.875,23.375,-0.074,-0.195,1.043,-0.164,-0.047,0.445,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,141,141,0,141,420240.263,-0.978,-0.133,0.048,-0.152,0,0,2961,0,3059,1433,2421,2951,32,0.000,74,1,44.312,0.606,-4.125,-41.625,14.625,-0.113,-0.191,1.035,-0.188,0.258,0.516,0.308,0.000,0.576,0.839,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
